iter	Logloss
0	0.685055658
1	0.6771793848
2	0.6694724541
3	0.6618851584
4	0.6546162302
5	0.6474930986
6	0.6406161748
7	0.6339182522
8	0.6273536669
9	0.6210276832
10	0.6148680882
11	0.6088363318
12	0.603008759
13	0.5973164075
14	0.5917872999
15	0.5864047895
16	0.5811880438
17	0.5759992724
18	0.57106508
19	0.5662644058
20	0.5615348785
21	0.5569907698
22	0.5525594313
23	0.5482079678
24	0.5439892189
25	0.5399130576
26	0.5359405127
27	0.5320762014
28	0.5280802147
29	0.5243685069
30	0.5208096811
31	0.5172868806
32	0.5138807726
33	0.5106182356
34	0.5074373494
35	0.5043424241
36	0.5013218778
37	0.4983821488
38	0.4954486617
39	0.4926620974
40	0.4899607598
41	0.4872498681
42	0.4846927399
43	0.4821847951
44	0.4797604547
45	0.4773254497
46	0.4749977165
47	0.4727425973
48	0.4705638418
49	0.4684429446
50	0.4663703949
51	0.4643525964
52	0.4624038848
53	0.4605019978
54	0.4585285025
55	0.4567189145
56	0.4549608917
57	0.4532564804
58	0.4515935337
59	0.449915624
60	0.4483191913
61	0.4467885087
62	0.4452375882
63	0.4437552067
64	0.4423068352
65	0.4409397505
66	0.4395730848
67	0.4382729786
68	0.4368525689
69	0.4355676422
70	0.4343181807
71	0.4331543846
72	0.4318991758
73	0.4307264479
74	0.4296415899
75	0.4284410612
76	0.4274063984
77	0.4264123085
78	0.4252566076
79	0.424318564
80	0.4233868872
81	0.4224844192
82	0.4215583329
83	0.4205636665
84	0.4196023183
85	0.4186928007
86	0.4178941171
87	0.4171271367
88	0.4163379157
89	0.4155856851
90	0.4148573573
91	0.4141495664
92	0.4134802244
93	0.4128275264
94	0.4121956652
95	0.4115825669
96	0.4109639247
97	0.4103470068
98	0.4096712043
99	0.4090077546
100	0.4083549778
101	0.4076791471
102	0.4071649825
103	0.406621294
104	0.4061208493
105	0.4056418127
106	0.405181518
107	0.404711213
108	0.4042012695
109	0.4037780033
110	0.4033488601
111	0.4029296457
112	0.4024068434
113	0.4019752445
114	0.4015975521
115	0.4012301624
116	0.4008295346
117	0.4004725314
118	0.4000879899
119	0.3997137532
120	0.3993890703
121	0.3990343107
122	0.3987198846
123	0.398423702
124	0.3980812732
125	0.3977883082
126	0.3975113733
127	0.3972208514
128	0.3969472751
129	0.3966896951
130	0.396386889
131	0.3961421654
132	0.3958939521
133	0.3956192052
134	0.3952684088
135	0.3950501904
136	0.3947413739
137	0.3945088353
138	0.3942076263
139	0.3939337766
140	0.3937371216
141	0.3934857087
142	0.393304654
143	0.3931048669
144	0.3929267122
145	0.3927517638
146	0.3925863822
147	0.3924161285
148	0.3922365789
149	0.391981897
150	0.3917472157
151	0.3915967975
152	0.3913578607
153	0.3912152689
154	0.39105638
155	0.3908345596
156	0.3906739117
157	0.3904612851
158	0.390251788
159	0.3900421144
160	0.3898687402
161	0.3897524501
162	0.3896118011
163	0.3894873256
164	0.389347926
165	0.3892007502
166	0.3890766064
167	0.3889622489
168	0.3887871637
169	0.38866801
170	0.3885305662
171	0.3883390321
172	0.3881736919
173	0.388083576
174	0.3879982799
175	0.3878861646
176	0.3877239422
177	0.3875852328
178	0.3875082933
179	0.3873959928
180	0.387320016
181	0.3872196067
182	0.387073539
183	0.3869531265
184	0.386822386
185	0.3867292975
186	0.3866185489
187	0.3865481474
188	0.3864265279
189	0.3863346028
190	0.3862157699
191	0.3860748034
192	0.3859968391
193	0.3858946935
194	0.3858436336
195	0.3857682798
196	0.3856766458
197	0.3855996462
198	0.3855341481
199	0.3854268658
200	0.3853806571
201	0.3853415143
202	0.3852840075
203	0.3851733674
204	0.3850911341
205	0.3850101735
206	0.3849326058
207	0.3848664989
208	0.3848121578
209	0.3847679806
210	0.3846735072
211	0.3846148043
212	0.3845338264
213	0.3845040916
214	0.3844106823
215	0.3843652254
216	0.384311643
217	0.3842494398
218	0.3842108379
219	0.3841823813
220	0.3841379974
221	0.3840584337
222	0.3839740306
223	0.3838875188
224	0.3838469269
225	0.3838003877
226	0.3837366291
227	0.3836975524
228	0.3836203499
229	0.3835284085
230	0.383461166
231	0.3833799215
232	0.3833538423
233	0.3832774735
234	0.3831991324
235	0.3831299513
236	0.3830777528
237	0.3830511014
238	0.3829029612
239	0.382851874
240	0.3827946178
241	0.3827684418
242	0.3827448746
243	0.3827117253
244	0.3826621113
245	0.3825979433
246	0.3825347366
247	0.3825104673
248	0.3824357128
249	0.3823426101
250	0.3822845509
251	0.3822557026
252	0.3821164153
253	0.3820863609
254	0.3820319041
255	0.3819941842
256	0.381963724
257	0.3819121957
258	0.381880163
259	0.3818154133
260	0.3817938392
261	0.3817572281
262	0.3816991489
263	0.3816509806
264	0.3816166734
265	0.3815985408
266	0.3815517646
267	0.3815356372
268	0.3814706736
269	0.3814344445
270	0.3814068852
271	0.3813805857
272	0.3813135886
273	0.3812848367
274	0.3812612556
275	0.3812007804
276	0.3811424026
277	0.3810639876
278	0.3810145148
279	0.3809502704
280	0.3809355568
281	0.3809023988
282	0.3808793115
283	0.3808475195
284	0.3808160379
285	0.3807864971
286	0.3807501037
287	0.3806228343
288	0.3805705384
289	0.3805553742
290	0.3805356506
291	0.3805003304
292	0.3804430789
293	0.3804200389
294	0.3804067408
295	0.3803971018
296	0.3803597762
297	0.3803253215
298	0.3802896898
299	0.3802550487
300	0.3801315776
301	0.3801229595
302	0.3800710724
303	0.3800385762
304	0.379978222
305	0.3799663866
306	0.3799386406
307	0.3798181556
308	0.3797613605
309	0.3796436091
310	0.3796170344
311	0.3795912705
312	0.3795674804
313	0.3795371223
314	0.3795172905
315	0.3794921607
316	0.3794556835
317	0.379340727
318	0.3793039142
319	0.3792575309
320	0.3792379426
321	0.3791954779
322	0.3791568321
323	0.379139229
324	0.3790893136
325	0.3789772156
326	0.3789283949
327	0.3789126996
328	0.3788895764
329	0.3788501575
330	0.3788289571
331	0.3788198137
332	0.3787991862
333	0.3787815599
334	0.3787623881
335	0.3787217814
336	0.3787015541
337	0.3786793706
338	0.3786340765
339	0.3786101484
340	0.37858944
341	0.3785597003
342	0.3785382479
343	0.3785143812
344	0.3784988412
345	0.378483426
346	0.3784764729
347	0.3784706565
348	0.3784491576
349	0.3784169725
350	0.3783838808
351	0.3783495274
352	0.3783035324
353	0.3782935227
354	0.3782779802
355	0.3782621105
356	0.3782368033
357	0.3782116684
358	0.3781712264
359	0.3781275492
360	0.3781084568
361	0.3780892863
362	0.3780708077
363	0.3780462497
364	0.3780272006
365	0.3780197058
366	0.378011912
367	0.3779781042
368	0.377957516
369	0.3779463038
370	0.3779126917
371	0.377887414
372	0.3778713424
373	0.3778463105
374	0.3778299379
375	0.377810308
376	0.3777783773
377	0.3777661268
378	0.3777234713
379	0.3777092421
380	0.3777035738
381	0.377680144
382	0.377632558
383	0.3776191967
384	0.3776008919
385	0.3775700123
386	0.3775439889
387	0.377511939
388	0.3774054234
389	0.3773593243
390	0.3773364278
391	0.3773247591
392	0.3772902474
393	0.3772821752
394	0.3772679524
395	0.3772059127
396	0.3771901771
397	0.3771842584
398	0.377141726
399	0.3771173661
400	0.3771126601
401	0.3770929686
402	0.3770761363
403	0.3770576475
404	0.3770182265
405	0.3770015822
406	0.376981466
407	0.3769653558
408	0.3769449132
409	0.3769201377
410	0.3769178837
411	0.3768753627
412	0.3768630284
